Name,Rating (%),Price Range,Cuisines,Opening Date
Queen St. Cafe,82,$,"Malaysian, thai",March 3 2016
Dumplings R Us,71,$,Chinese,July 14 2018
Mexican Grill,85,$$,Mexican,May 26 2015
Darling Dumplings,95,$$$,chinese,September 9 2019
Chopsticks,89,$$$,Japanese,November 12 2017
Mocha My Day,73,$$,"Coffee/Tea, Italian",February 1 2020
Deep Fried Everything,52,$,Pub Food,August 1 2021
My Thai,87,$$$,Thai,October 13 2016
Break Your Fast,93,$,"DINER, Coffee/tea",April 30 2012
Steak House,82,$$$$,Steakhouse,December 28 2010
Georgie Porgie,87,$$$,"Canadian, PUB FOOD",May 5 2014
Silver Spoon,97,$$$$,Canadian,March 28 2008
Coffee Cafe,77,$$,"Coffee/Tea, diner",January 21 2019
Flavour Fusion,83,$$,"Chinese, Thai, Japanese",July 5 2018
